date,min,max,pm25,q1,q3,stdev,count
2020-03-30T00:00:00.000Z,0.46,1.4,0.79,0.68,0.93,0.191,132
2020-03-31T00:00:00.000Z,0.57,3.48,0.95,0.85,1.12,0.323,304
2020-04-01T00:00:00.000Z,0.4,2.97,1.1,0.94,1.25,0.387,177
2020-04-02T00:00:00.000Z,0.45,4.68,1.74,1.18,2.42,0.829,414
2020-04-03T00:00:00.000Z,0.4,1.95,0.8,0.7,0.92,0.227,440
2020-04-04T00:00:00.000Z,0.56,2.08,0.91,0.79,1.05,0.217,509
2020-04-05T00:00:00.000Z,0.65,19.02,1.82,1.12,4.61,4.337,522
2020-04-06T00:00:00.000Z,2.85,20.02,7.38,5.05,10.65,3.712,511
2020-04-07T00:00:00.000Z,1.61,17.41,11.22,2.58,12.76,5.323,443
2020-04-08T00:00:00.000Z,1.78,5.82,2.71,2.29,3.25,0.657,450
2020-04-09T00:00:00.000Z,0.35,136.16,0.9,0.62,1.24,9.921,447
2020-04-10T00:00:00.000Z,0.28,7.11,0.64,0.5,0.88,0.958,503
2020-04-11T00:00:00.000Z,0.72,4.48,2.71,1.24,3.41,1.116,155
2020-04-12T00:00:00.000Z,0.35,13.7,2.59,1.27,5.4,3.358,589
2020-04-13T00:00:00.000Z,0.38,1.81,0.92,0.72,1.06,0.26,586
2020-04-14T00:00:00.000Z,0.4,1.97,1.04,0.74,1.25,0.33,571
2020-04-15T00:00:00.000Z,0.18,3.66,0.85,0.59,1.18,0.727,523
2020-04-16T00:00:00.000Z,0.35,2.6,0.65,0.53,0.95,0.323,523
2020-04-17T00:00:00.000Z,0.3,2.45,0.79,0.57,0.98,0.284,573
2020-04-18T00:00:00.000Z,0.35,6.68,1.11,0.81,1.38,0.71,581
2020-04-19T00:00:00.000Z,0.35,90.29,1.09,0.82,2.21,7.995,570
2020-04-20T00:00:00.000Z,0.34,3.18,1.08,0.74,1.47,0.454,519
2020-04-21T00:00:00.000Z,0.48,2.04,1.04,0.85,1.36,0.32,384
2020-04-22T00:00:00.000Z,0.53,2.54,1,0.82,1.18,0.319,429
2020-04-23T00:00:00.000Z,0.45,2,1.1,0.86,1.3,0.325,442
2020-04-24T00:00:00.000Z,0.28,2.44,0.57,0.48,0.98,0.344,544
2020-04-25T00:00:00.000Z,0.34,73.65,0.7,0.59,0.82,4.449,517
2020-04-26T00:00:00.000Z,0.4,99.3,1.23,1.06,1.92,10.847,486
2020-04-27T00:00:00.000Z,0.65,2.75,1.51,1.17,1.82,0.422,548
2020-04-28T00:00:00.000Z,0.9,3.47,1.58,1.32,1.94,0.5,415
2020-04-29T00:00:00.000Z,0.94,20.05,1.72,1.48,2.22,1.617,517
2020-04-30T00:00:00.000Z,1.45,27.76,3.56,2.42,4.92,2.557,550
2020-05-01T00:00:00.000Z,3,29.31,7.11,5.31,10.74,3.53,558
2020-05-02T00:00:00.000Z,0.54,8.3,1.14,0.9,1.47,1.554,496
2020-05-03T00:00:00.000Z,0.4,11.9,1.38,1.01,1.75,0.884,568
2020-05-04T00:00:00.000Z,0.5,5.32,1.14,0.98,1.35,0.804,536
2020-05-05T00:00:00.000Z,0.6,4.71,1.1,0.91,1.6,0.664,497
2020-05-06T00:00:00.000Z,0.53,2.7,1.02,0.88,1.34,0.431,584
2020-05-07T00:00:00.000Z,0.47,1.9,1.07,0.85,1.27,0.297,377
2020-05-08T00:00:00.000Z,1.18,4.84,2.35,1.98,3.08,0.709,343
2020-05-09T00:00:00.000Z,0.38,298.32,0.94,0.65,1.44,21.068,339
2020-05-10T00:00:00.000Z,0.6,10.46,3.29,2.5,5.65,2.266,245
2020-05-11T00:00:00.000Z,0.42,1.75,0.82,0.67,1.04,0.263,350
2020-05-12T00:00:00.000Z,0.38,1.94,0.82,0.7,0.97,0.202,464
2020-05-13T00:00:00.000Z,0.38,2.02,0.88,0.66,1.11,0.322,445
2020-05-14T00:00:00.000Z,0.54,1.9,1.02,0.81,1.23,0.276,459
